job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,min_salary,max_salary,avarage_salary_USD,Year,Month,salary_level
1,Foster and Sons,Healthcare,Data Analyst,"NumPy, Reinforcement Learning, PyTorch, Scikit-learn, GCP, FastAPI",Mid,Full-time,"Tracybury, AR",92860-109598,8/20/2025,Large,"KDB+, LangChain",92860,109598,101229,2025,8,Medium
2,"Boyd, Myers and Ramirez",Tech,Computer Vision Engineer,"Scikit-learn, CUDA, SQL, Pandas",Senior,Full-time,"Lake Scott, CU",78523-144875,3/22/2024,Large,"FastAPI, KDB+, TensorFlow",78523,144875,111699,2024,3,Medium
3,King Inc,Tech,Quant Researcher,"MLflow, FastAPI, Azure, PyTorch, SQL, GCP",Entry,Full-time,"East Paige, CM",124496-217204,9/18/2025,Large,"BigQuery, PyTorch, Scikit-learn",124496,217204,170850,2025,9,High
4,"Cooper, Archer and Lynch",Tech,AI Product Manager,"Scikit-learn, C++, Pandas, LangChain, AWS, R",Mid,Full-time,"Perezview, FI",50908-123743,5/8/2024,Large,"TensorFlow, BigQuery, MLflow",50908,123743,87325.5,2024,5,Low
5,Hall LLC,Finance,Data Scientist,"Excel, Keras, SQL, Hugging Face",Senior,Contract,"North Desireeland, NE",98694-135413,2/24/2025,Large,"PyTorch, LangChain",98694,135413,117053.5,2025,2,Medium
6,Ellis PLC,E-commerce,AI Product Manager,"GCP, Excel, Scikit-learn, MLflow",Senior,Remote,"South Kevin, TZ",92632-180718,8/7/2025,Large,"PyTorch, TensorFlow, FastAPI",92632,180718,136675,2025,8,Medium
7,Matthews-Moses,Automotive,Data Analyst,"Python, Flask, Scikit-learn, GCP",Mid,Full-time,"West Shawn, LR",70575-88594,12/23/2024,Large,"PyTorch, MLflow",70575,88594,79584.5,2024,12,Low
8,Mullins Ltd,Education,Data Scientist,"Excel, SQL, Flask",Entry,Internship,"Port Hailey, RU",63032-82144,8/14/2024,Large,BigQuery,63032,82144,72588,2024,8,Low
9,Aguilar PLC,Healthcare,ML Engineer,"Pandas, LangChain, GCP, Azure",Entry,Internship,"Butlermouth, GB",134239-188504,9/15/2025,Large,"Scikit-learn, LangChain, BigQuery",134239,188504,161371.5,2025,9,High
10,Parks LLC,Automotive,Computer Vision Engineer,"Excel, Reinforcement Learning, TensorFlow",Senior,Full-time,"Nicoleshire, BA",79361-165029,8/7/2025,Large,"MLflow, TensorFlow",79361,165029,122195,2025,8,Medium
11,Vaughan-Ortiz,Tech,Data Scientist,"Keras, MLflow, Reinforcement Learning",Entry,Internship,"New Angelatown, LU",99964-125971,1/10/2024,Large,"LangChain, BigQuery, Scikit-learn",99964,125971,112967.5,2024,1,Medium
12,"Johnson, Guzman and Hernandez",Finance,ML Engineer,"Excel, Reinforcement Learning, Keras, Scikit-learn",Entry,Full-time,"Joychester, LT",63583-132670,3/15/2024,Large,"TensorFlow, PyTorch, BigQuery",63583,132670,98126.5,2024,3,Low
13,Martin and Sons,E-commerce,NLP Engineer,"C++, Hugging Face, Python, FastAPI",Entry,Full-time,"South Michael, FM",102770-117026,9/27/2023,Startup,LangChain,102770,117026,109898,2023,9,Medium
